Informazioni cronologiche,Hai vinto un buono da 30€. Come lo spendi?,Come ti comporti sui social? ,È ora di cena,Pregando di finire in zona gialla,"Quando ti trovi in una situazione nuova, circondat* da persone che vedi per la prima volta",Ti arrabbi soprattutto quando,Cosa ti preoccupa di più del futuro post-COVID?,Che pizza preferisci?,Sei tesserat* o fai vita associativa?,"Misuriamo l'umore, come ti senti ora?",Pensi che questo stato d'animo si prolungherà nel tempo?,"Secondo te, Bolzano ha bisogno di",Come vedi Bolzano?,"Cosa pensi se dico ""Intelligenza Artificiale""?",Quante ore dormi di solito la notte?,Mappa di Bolzano [Dov'è interessante?],Mappa di Bolzano [Dov'è rilassante?],Mappa di Bolzano [Dove ti incontri con gli amici?],Mappa di Bolzano [Dove non andresti?],Commento,Emozioni [Gioia ],Emozioni [Fiducia],Emozioni [Eccitazione],Emozioni [Ansia],Emozioni [Paura],Emozioni [Rabbia],Emozioni [Disgusto],Emozioni [Sorpresa],Emozioni [Tristezza],Rieccoti la mappa! [Rosso (A)],Rieccoti la mappa! [Arancione (B)],Rieccoti la mappa! [Giallo (C)],Rieccoti la mappa! [Verde (D)],Rieccoti la mappa! [Azzurro (E)],Rieccoti la mappa! [Blu (F)],Rieccoti la mappa! [Viola (G)],Luoghi/emozioni,Genere,Età,Luogo di nascita,"Se alla precedente domanda hai riposto Estero (EU) o Estero (no EU), specifica il paese qui sotto",Luogo di residenza,Livello di istruzione,Lingua madre,Lingue parlate,Stato civile,Con quante persone vivi?,Occupazione,Quanto lavori/studi?
02/02/2021 23.07.21,"Cosmetica, bellezza, benessere",7,Adoro cucinare,Imploro un aperitivo con gli amici,Cerco di inquadrare le persone prima di espormi,"Vedo una persona che getta una lattina a terra, Sento i colleghi fare battute sessiste su una collega che è appena stata promossa a direttrice",La situazione delle persone a me vicine,Margherita,Non sono iscritt* a nulla perché in fondo non mi interessa,"Così, così",Chissà,Eliminare lo spaccio e la delinquenza,,Può essere una valida alleata degli umani,8,"1, 2",2,1,5,,2,2,1,Non so,Non so,Non so,Non so,Non so,Non so,Non so,Non so,1,2,Non so,Non so,Non so,,Donna,21-30,Italia,,Bolzano,"Laurea, Università",Italiano,"Italiano, Tedesco, Inglese",Single,Da sol*,Student*,Tempo pieno
02/02/2021 23.12.00,"Libri, giornali, riviste",5,Apro il frigo e improvviso,Imploro un aperitivo con gli amici,"Aspetto che qualcun* parli per interagire, ma non vedevo l'ora che qualcun* avviasse la conversazione",Sento i colleghi fare battute sessiste su una collega che è appena stata promossa a direttrice,"La situazione delle persone a me vicine, La re-impennata degli agenti inquinanti",Margherita,"Certo! Sostengo associazioni, organizzazioni, partiti o simili","Così, così",Chissà,"Riqualificare/rimuovere i monumenti di epoca fascista, Piantare alberi",Potenziale ,È una questione delicata che dobbiamo gestire,8,1,1,1,4,,1,1,1,4,4,5,5,2,3,,,,,1,,,,Uomo,21-30,Estero (EU),,Bolzano,"Laurea, Università","Italiano, Tedesco","Italiano, Tedesco, Inglese",Single,Con più di due coinquilin*,Student*,Part-time
02/02/2021 23.13.02,"Libri, giornali, riviste",6,Per fortuna vivo con altre persone che se ne occupano,Imploro un aperitivo con gli amici,Cerco di inquadrare le persone prima di espormi,"Sento i colleghi fare battute sessiste su una collega che è appena stata promossa a direttrice, Vedo un ciclista pedalare fuori dalla pista ciclabile nonostante ce ne sia una",La situazione delle persone a me vicine,Margherita,Non sono iscritt* a nulla perché in fondo non mi interessa,"Così, così",Si,Sistemare la viabilità,Calma,Una cosa entusiasmante,9,1,4,4,5,"È una zona che non prendo in considerazione per lo svago, troppo lontana dal mio quartiere ",4,4,1,2,Non so,Non so,Non so,1,Non so,1,2,3,4,Non so,Non so,2,"Viola l’ho associato alla zona più ricca della città, rosso alla più frequentata, verde a quella che mi calma",Donna,21-30,Bolzano,,Bolzano,Istruzione secondaria/completa,Italiano,"Italiano, Tedesco, Inglese",Single,Con più di due coinquilin*,Student*,Tempo pieno
02/02/2021 23.18.30,"Cosmetica, bellezza, benessere",5,Adoro cucinare,Imploro un aperitivo con gli amici,Aspetto che mi coinvolgano le altre persone,Sento i colleghi fare battute sessiste su una collega che è appena stata promossa a direttrice,Non riuscire più a relazionarmi con le persone con la stessa tranquillità di una volta,Patatine e wurstel,"Mi iscriverei, ma la verità è che non mi sento rappresentat*","Così, così",Si,Eliminare lo spaccio e la delinquenza,Libera ,Può essere una valida alleata degli umani,6,1,2,1,3,,1,1,1,4,3,4,3,1,4,4,4,3,1,2,4,3,,Donna,21-30,Italia,,Verona ,Istruzione secondaria/completa,Italiano,"Italiano, Tedesco, Inglese, Spagnolo",Single,,Student*,Tempo pieno
02/02/2021 23.19.42,Musica o film,4,Adoro cucinare,Imploro un aperitivo con gli amici,Cerco di inquadrare le persone prima di espormi,"Vedo un ciclista pedalare fuori dalla pista ciclabile nonostante ce ne sia una, Penso che tutte le persone al potere vogliono fare solo i loro interessi",La re-impennata degli agenti inquinanti,Margherita,"Certo! Sostengo associazioni, organizzazioni, partiti o simili",Bene,Si,"Sistemare la viabilità, Eliminare lo spaccio e la delinquenza","Un po' noiosa, poca vita e socialità, verde, ",È una questione delicata che dobbiamo gestire,8,1,"1, 2","1, 5",,,"1, 2",1,2,Non so,Non so,Non so,Non so,3,5,Non so,Non so,Non so,2,"1, 3",5,Non so,,Donna,21-30,Bolzano,,Bolzano,Istruzione secondaria/completa,Italiano,"Tedesco, Inglese, Francese, spagnolo",Single,Con due coinquilin*,Student*,Tempo pieno
02/02/2021 23.23.13,Articoli sportivi,6,Apro il frigo e improvviso,Improvviso un'escursione in qualsiasi zona purché sia fuori Comune,"Aspetto che qualcun* parli per interagire, ma non vedevo l'ora che qualcun* avviasse la conversazione","Vedo una persona che getta una lattina a terra, Scopro che un conoscente non paga le tasse","La mia situazione, Non riuscire più a relazionarmi con le persone con la stessa tranquillità di una volta",Margherita,"Mi iscriverei, ma la verità è che non mi sento rappresentat*","Così, così",Si,"Riqualificare/rimuovere i monumenti di epoca fascista, Piantare alberi, Sistemare la viabilità, Eliminare lo spaccio e la delinquenza, Rivedere l'assegnazione delle case popolari",Città da valorizzare e un pó stretta ,Può essere una valida alleata degli umani,8,1,2,1,5,,1,1,,5,,,,,,3,5,4,1,,2,,,Donna,21-30,Italia,,Veneto,"Master, Università",Italiano,"Tedesco, Inglese, Francese",Single,,Lavorator*,Part-time
02/02/2021 23.25.34,Articoli sportivi,4,Adoro cucinare,Improvviso un'escursione in qualsiasi zona purché sia fuori Comune,"Rompo il ghiaccio, vado a ruota libera",Vedo un ciclista pedalare fuori dalla pista ciclabile nonostante ce ne sia una,Essere incapace di staccarmi da computer e smartphone,Margherita,"Certo! Sostengo associazioni, organizzazioni, partiti o simili","Così, così",Si,"Piantare alberi, Sistemare la viabilità",,Può essere una valida alleata degli umani,9,"1, 2, 3",2,"2, 3",4,,,,,,,,,,,,,,,,,,,Uomo,17-20,Altro comune Trentino Alto Adige,,Bressanone,"Laurea, Università","Italiano, Tedesco","Italiano, Tedesco, Inglese",Single,Da sol*,Student*,Tempo pieno
02/02/2021 23.30.48,"Libri, giornali, riviste",5,Apro il frigo e improvviso,Imploro un aperitivo con gli amici,Cerco di inquadrare le persone prima di espormi,"Sento i colleghi fare battute sessiste su una collega che è appena stata promossa a direttrice, Vedo un ciclista pedalare fuori dalla pista ciclabile nonostante ce ne sia una","La mia situazione, La situazione delle persone a me vicine, La re-impennata degli agenti inquinanti",Margherita,"Mi iscriverei, ma la verità è che non mi sento rappresentat*",Bene,Chissà,"Riqualificare/rimuovere i monumenti di epoca fascista, Piantare alberi, Sistemare la viabilità","Ha un buon potenziale, peccato per la poca vita in centro concentrata solo in pochi locali",Può essere una valida alleata degli umani,7,"1, 2","1, 2, 4","1, 2","3, 4, 5",Abito nella zona Don Bosco (che mal sopporto) e l'unico motivo per cui la trovo rilassante è la vicinanza alla campagna,"1, 2",2,1,,1,Non so,"1, 4, 5",Non so,"3, 4, 5",1,1,1,4,Non so,5,Non so,,Uomo,21-30,Bolzano,,Bolzano,"Laurea, Università",Italiano,"Italiano, Tedesco, Inglese",Single,Da sol*,Student*,Tempo pieno
02/02/2021 23.35.52,Articoli per la casa,3,Adoro cucinare,Imploro un aperitivo con gli amici,"Aspetto che qualcun* parli per interagire, ma non vedevo l'ora che qualcun* avviasse la conversazione","Vedo una persona che getta una lattina a terra, Sento i colleghi fare battute sessiste su una collega che è appena stata promossa a direttrice","La re-impennata degli agenti inquinanti, Non riuscire più a relazionarmi con le persone con la stessa tranquillità di una volta",Margherita,"Mi iscriverei, ma la verità è che non mi sento rappresentat*","Così, così",No,"Riqualificare/rimuovere i monumenti di epoca fascista, Rivedere l'assegnazione delle case popolari","Seriosa, ordinata a volte quasi “finta”, ma ci sono legata emotivamente",Può essere una valida alleata degli umani,7,"2, 5",2,"1, 5","3, 4",,"1, 2","1, 2","2, 5",3,3,3,Non so,"2, 5",4,,Non so,1,2,5,4,3,,Donna,21-30,Italia,,Bolzano,"Laurea, Università",Italiano,"Italiano, Tedesco, Inglese, Spagnolo",Convivente (anche non formalizzato),Con due coinquilin*,Student*,Tempo pieno
02/02/2021 23.41.29,Macchine fotografiche e altre attrezzature elettroniche,5,La pizzeria del cuore è in cima alla lista,Imploro un aperitivo con gli amici,"Aspetto che qualcun* parli per interagire, ma non vedevo l'ora che qualcun* avviasse la conversazione","Vedo una persona che getta una lattina a terra, Sento i colleghi fare battute sessiste su una collega che è appena stata promossa a direttrice, Scopro che un conoscente non paga le tasse",La re-impennata degli agenti inquinanti,Patatine e wurstel,"Certo! Sostengo associazioni, organizzazioni, partiti o simili",Bene,No,"Piantare alberi, Sistemare la viabilità, Eliminare lo spaccio e la delinquenza",Ispirante,Può essere una valida alleata degli umani,6,1,2,1,5,,Non so,Non so,Non so,Non so,Non so,Non so,Non so,Non so,Non so,Non so,Non so,Non so,Non so,Non so,Non so,Non so,,Uomo,17-20,Altro comune Trentino Alto Adige,,Bolzano,Istruzione secondaria/completa,Italiano,"Italiano, Inglese",Single,Con un coinquilin*,Student*,Tempo pieno
02/02/2021 23.48.58,Articoli sportivi,6,Apro il frigo e improvviso,"Rimango fedele all'appartamento, il mio habitat del cuore",Aspetto che mi coinvolgano le altre persone,"Vedo una persona che getta una lattina a terra, Scopro che un conoscente non paga le tasse",Non riuscire più a relazionarmi con le persone con la stessa tranquillità di una volta,Non ho particolari preferenze,Non sono iscritt* a nulla perché in fondo non mi interessa,Bene,Si,Eliminare lo spaccio e la delinquenza,Poco giovanile,Una cosa entusiasmante,7,"1, 2, 5",2,"1, 2",,,1,"1, 2, 3, 4, 5",Non so,Non so,Non so,Non so,5,Non so,5,3,3,2,1,4,5,5,,Uomo,21-30,Bolzano,,Val di Fassa,"Laurea, Università",Italiano,"Tedesco, Inglese",Single,Con un coinquilin*,Student*,Tempo pieno
02/02/2021 23.49.12,Musica o film,6,Adoro cucinare,"Rimango fedele all'appartamento, il mio habitat del cuore",Cerco di inquadrare le persone prima di espormi,"Vedo una persona che getta una lattina a terra, Sento i colleghi fare battute sessiste su una collega che è appena stata promossa a direttrice, Vedo un ciclista pedalare fuori dalla pista ciclabile nonostante ce ne sia una, Scopro che un conoscente non paga le tasse, I vicini del piano di sopra fanno rumore incessante per tutta la sera, Una conoscente vuole convincermi che le persone immigrate hanno dei diritti",,,,,,,,,,2,2,2,,,2,2,1,"4, 5","4, 5","4, 5","4, 5",,"4, 5",5,5,4,2,2,2,1,,Non binari*,,,,,,,,,,,
02/02/2021 23.52.56,"Libri, giornali, riviste",4,Apro il frigo e improvviso,Imploro un aperitivo con gli amici,"Aspetto che qualcun* parli per interagire, ma non vedevo l'ora che qualcun* avviasse la conversazione","Penso che tutte le persone al potere vogliono fare solo i loro interessi, Scopro che un conoscente non paga le tasse",La situazione delle persone a me vicine,Non ho particolari preferenze,"Certo! Sostengo associazioni, organizzazioni, partiti o simili",Bene,Si,"Sistemare la viabilità, Eliminare lo spaccio e la delinquenza",Con tanto potenziale ma che deve ancora essere sfruttato al meglio. ,È una questione delicata che dobbiamo gestire,7,1,2,1,5,,Non so,Non so,Non so,Non so,Non so,Non so,Non so,Non so,Non so,1,2,3,5,4,Non so,Non so,,Donna,17-20,Altro comune Trentino Alto Adige,,Mezzolombardo,Istruzione secondaria/completa,Italiano,"Italiano, Tedesco, Inglese",Single,Da sol*,Student*,Tempo pieno
03/02/2021 0.17.10,"Libri, giornali, riviste",4,Adoro cucinare,Improvviso un'escursione in qualsiasi zona purché sia fuori Comune,"Aspetto che qualcun* parli per interagire, ma non vedevo l'ora che qualcun* avviasse la conversazione","Sento i colleghi fare battute sessiste su una collega che è appena stata promossa a direttrice, I vicini del piano di sopra fanno rumore incessante per tutta la sera","La situazione delle persone a me vicine, Essere incapace di staccarmi da computer e smartphone",Vegetariana,"Mi iscriverei, ma la verità è che non mi sento rappresentat*",Bene,Si,"Piantare alberi, Eliminare lo spaccio e la delinquenza",Vecchia ma ricca di opportunità ,Può essere una valida alleata degli umani,7,1,"1, 5","1, 2",4,,"1, 5",5,Non so,2,2,Non so,Non so,5,5,4,1,1,,5,3,2,,Donna,21-30,Italia,,Sarcedo,"Laurea, Università",Italiano,"Tedesco, Inglese, Francese",Single,Con due coinquilin*,Student*,Tempo pieno
03/02/2021 0.22.32,Musica o film,4,Apro il frigo e improvviso,Imploro un aperitivo con gli amici,Cerco di inquadrare le persone prima di espormi,"Sento i colleghi fare battute sessiste su una collega che è appena stata promossa a direttrice, Vedo un ciclista pedalare fuori dalla pista ciclabile nonostante ce ne sia una","La mia situazione, La situazione delle persone a me vicine",4 formaggi,Non sono iscritt* a nulla perché in fondo non mi interessa,Bene,Si,Eliminare lo spaccio e la delinquenza,Qualità di servizi,Può essere una valida alleata degli umani,6,1,1,1,1,,1,1,"1, 5",4,4,Non so,Non so,"1, 5","3, Non so",Non so,Non so,1,1,1,1,Non so,,Uomo,17-20,Bolzano,,Bolzano,Istruzione secondaria/completa,Italiano,"Italiano, Tedesco, Inglese",Single,Da sol*,Student*,Tempo pieno
03/02/2021 1.15.14,Articoli per la casa,5,Adoro cucinare,Improvviso un'escursione in qualsiasi zona purché sia fuori Comune,"Rompo il ghiaccio, vado a ruota libera","Sento i colleghi fare battute sessiste su una collega che è appena stata promossa a direttrice, Vedo un ciclista pedalare fuori dalla pista ciclabile nonostante ce ne sia una","La mia situazione, La situazione delle persone a me vicine, La re-impennata degli agenti inquinanti",Vegetariana,"Mi iscriverei, ma la verità è che non mi sento rappresentat*",Bene,No,"Piantare alberi, Eliminare lo spaccio e la delinquenza","Piccola, chiusa e monotona",È una questione delicata che dobbiamo gestire,8,1,1,1,1,"Non conosco ancora nessuna zona se non il Centro, sono studentessa da fuori regione e non ho ancora avuto tempo e possibilità di uscire dal centro ",,1,,1,1,,,,1,Non so,,,Non so,Non so,Non so,Non so,,Donna,17-20,Italia,,Bolzano,Istruzione secondaria/completa,Italiano,"Italiano, Inglese, Spagnolo",Single,Con un coinquilin*,Student*,Tempo pieno
03/02/2021 8.28.14,Macchine fotografiche e altre attrezzature elettroniche,7,Adoro cucinare,Improvviso un'escursione in qualsiasi zona purché sia fuori Comune,Cerco di inquadrare le persone prima di espormi,"Sento i colleghi fare battute sessiste su una collega che è appena stata promossa a direttrice, I vicini del piano di sopra fanno rumore incessante per tutta la sera",Non riuscire più a relazionarmi con le persone con la stessa tranquillità di una volta,Margherita,Non sono iscritt* a nulla perché in fondo non mi interessa,"Così, così",Chissà,"Sistemare la viabilità, Eliminare lo spaccio e la delinquenza",Triste e fredda,Una cosa entusiasmante,8,2,2,3,1,,Non so,Non so,Non so,Non so,Non so,1,Non so,Non so,Non so,1,3,2,"2, Non so",Non so,5,Non so,,Donna,21-30,Bolzano,,Bolzano,"Laurea, Università",Italiano,"Italiano, Tedesco, Inglese",,Con partner,Student*,Tempo pieno
03/02/2021 8.36.03,"Cosmetica, bellezza, benessere",5,Apro il frigo e improvviso,Imploro un aperitivo con gli amici,Cerco di inquadrare le persone prima di espormi,"Sento i colleghi fare battute sessiste su una collega che è appena stata promossa a direttrice, I vicini del piano di sopra fanno rumore incessante per tutta la sera",La situazione delle persone a me vicine,Patatine e wurstel,Non sono iscritt* a nulla perché in fondo non mi interessa,"Così, così",Chissà,Eliminare lo spaccio e la delinquenza,,Può essere una valida alleata degli umani,7,,,,,,,,,,,,,,,,,,,,,,,Donna,17-20,Altro comune Trentino Alto Adige,,Trento,Istruzione secondaria/completa,Italiano,"Italiano, Inglese",Single,Da sol*,Student*,Tempo pieno
03/02/2021 8.48.40,"Libri, giornali, riviste",7,Apro il frigo e improvviso,"Rimango fedele all'appartamento, il mio habitat del cuore",Se potessi mi smaterializzerei,"Vedo un ciclista pedalare fuori dalla pista ciclabile nonostante ce ne sia una, I vicini del piano di sopra fanno rumore incessante per tutta la sera","La re-impennata degli agenti inquinanti, Non riuscire più a relazionarmi con le persone con la stessa tranquillità di una volta",Margherita,Non sono iscritt* a nulla perché in fondo non mi interessa,"Così, così",Si,"Piantare alberi, Eliminare lo spaccio e la delinquenza",Tranquilla,"Non ho idea di cosa sia, ma sono curios*",8,"1, 5",3,"1, 5","2, 4",,"3, 5",3,"1, 5",1,"1, 2, 5","1, 5",1,Non so,Non so,"1, 2",Non so,4,3,3,3,2,,Donna,17-20,Bolzano,,Salorno,Istruzione secondaria/completa,Italiano,"Italiano, Tedesco, Inglese",Single,Con due coinquilin*,Student*,Tempo pieno
03/02/2021 9.03.36,Articoli per la casa,3,Apro il frigo e improvviso,Improvviso un'escursione in qualsiasi zona purché sia fuori Comune,Cerco di inquadrare le persone prima di espormi,"Penso che tutte le persone al potere vogliono fare solo i loro interessi, Scopro che un conoscente non paga le tasse",Non riuscire più a relazionarmi con le persone con la stessa tranquillità di una volta,Margherita,Non sono iscritt* a nulla perché in fondo non mi interessa,"Così, così",Si,"Riqualificare/rimuovere i monumenti di epoca fascista, Eliminare lo spaccio e la delinquenza",Pacifica ,È una questione delicata che dobbiamo gestire,8,5,2,1,4,,1,1,1,4,4,4,4,5,2,1,1,1,2,Non so,4,"4, 5",,Donna,21-30,Italia,,Treviso,Istruzione secondaria/completa,Italiano,"Tedesco, Inglese",Single,Con un coinquilin*,Student*,Tempo pieno
03/02/2021 9.17.24,Articoli sportivi,6,Apro il frigo e improvviso,Improvviso un'escursione in qualsiasi zona purché sia fuori Comune,Cerco di inquadrare le persone prima di espormi,"Vedo una persona che getta una lattina a terra, Penso che tutte le persone al potere vogliono fare solo i loro interessi",Non riuscire più a relazionarmi con le persone con la stessa tranquillità di una volta,Salsiccia e friarielli,Non sono iscritt* a nulla perché in fondo non mi interessa,"Così, così",Chissà,"Sistemare la viabilità, Eliminare lo spaccio e la delinquenza",,Può essere una valida alleata degli umani,8,2,1,"1, 2","4, 5",,2,2,2,5,"4, 5",5,Non so,Non so,Non so,2,5,1,2,4,3,3,,Uomo,21-30,Bolzano,,Bolzano,Istruzione secondaria/completa,Italiano,"Italiano, Tedesco, Inglese",Single,,Student*,Tempo pieno
03/02/2021 10.00.08,"Cosmetica, bellezza, benessere",6,Apro il frigo e improvviso,Imploro un aperitivo con gli amici,Aspetto che mi coinvolgano le altre persone,"Vedo una persona che getta una lattina a terra, Vedo un ciclista pedalare fuori dalla pista ciclabile nonostante ce ne sia una",Non riuscire più a relazionarmi con le persone con la stessa tranquillità di una volta,Margherita,"Certo! Sostengo associazioni, organizzazioni, partiti o simili",Bene,Si,Eliminare lo spaccio e la delinquenza,"Verde, circondata dalla natura, vuota di sera, una città per ""vecchi""",Non credo che possa esistere un'Intelligenza Artificiale,8,"1, 2, 5","1, 2, 5","1, 5","3, 4","Il centro è il cuore di Bolzano. A Don Bosco e viale Europa c'è tanto traffico, poca zona pedonale, pochi locali e case popolari. Oltrisarco è una zona tranquilla, con molti anziani. Ai piani non c'è nulla ma sono cresciuta lì coi miei amici e alcuni vivono ancora lì.",1,"1, 2, 5",1,"3, 4",4,Non so,"3, 4",1,4,2,1,"1, 2","2, 5","1, 5","3, 4","3, 4","Colori accesi per le zone belle, scuri per quelle più brutte e trafficate.",Donna,,Bolzano,,Bolzano,"Laurea, Università",Italiano,"Italiano, Tedesco, Inglese",Single,,Student*,Tempo pieno
